m,n,f,s,fracture_nofracture
13,6,2559,18.72837028,
13,11,3362,20.00156305,
14,1,4825,28.39076462,nofracture
8,2,3544,19.79038166,
9,5,3909,27.03994947,
8,7,3231,20.56144287,
8,5,4085,24.7818303,
10,7,3609,20.13913707,
8,4,4980,28.39053722,nofracture
10,1,3509,20.67548905,
15,5,3293,18.74221944,
10,3,3916,28.38903594,nofracture
12,4,4316,25.25120657,
14,7,3445,18.87199824,
14,10,3340,19.78367011,
10,0,3736,20.60945102,
7,5,4624,28.39145029,nofracture
15,1,3437,28.38350101,nofracture
14,12,3539,19.38704175,
13,4,4546,28.39453415,nofracture
9,7,3537,21.11244812,
7,2,4532,28.39423352,nofracture
4,0,3066,16.62367409,
11,3,4241,28.39200817,nofracture
3,2,3768,21.54448933,
6,4,3578,20.35455487,
8,0,3646,20.06622814,
15,0,3593,19.74747664,
11,10,4029,28.39196258,nofracture
9,0,3704,20.41602423,
4,2,4852,27.5684898,
9,2,4480,28.28487346,
8,1,3387,19.59597904,
13,13,4635,26.15067171,
12,8,3502,19.88184741,
10,9,2754,20.77938441,
15,4,3495,25.52572621,
11,2,4531,25.86547893,
13,0,3626,19.94584463,
12,12,4676,26.41016866,
11,7,2589,20.43098846,
10,5,4980,28.39053833,nofracture
11,5,4709,28.38886717,nofracture
15,11,2502,28.37832601,nofracture
2,1,4273,23.91526673,
15,10,3338,18.8681155,
5,4,3228,20.51096497,
13,1,4993,28.39245115,nofracture
6,6,4509,25.35652312,
12,10,3148,20.46727557,
15,8,3137,19.13085166,
11,1,3334,24.29667588,
7,7,4628,26.10642144,
10,6,4650,28.3884328,nofracture
13,10,3110,19.20885783,
10,2,4932,28.39206804,nofracture
5,5,4416,24.77357541,
9,4,2911,20.91355991,
11,8,3584,20.15306388,
13,7,3457,20.95327693,
14,0,3610,19.84962433,
11,4,4469,28.39180483,nofracture
14,4,4532,28.39423091,nofracture
15,15,4637,26.16331794,
15,3,4932,28.39206775,nofracture
13,9,3788,25.00044053,
14,9,3076,18.877264,
14,14,4620,26.05586649,
9,6,4826,28.38896879,nofracture
8,3,4016,25.87097684,
6,1,3086,19.36708901,
11,11,4663,26.3278305,
14,6,3385,18.75803576,
3,3,4170,23.24461558,
7,1,3375,19.48910921,
7,3,3506,19.49009414,
14,11,3392,19.28970116,
3,1,4441,26.07061864,
9,1,3128,20.32484537,
3,0,4023,22.35819812,
8,6,4195,24.90349792,
15,13,1905,19.38262317,
10,8,4324,28.39184501,nofracture
12,7,2551,18.88361782,
13,5,3564,28.39216907,nofracture
12,5,3189,26.84803369,
14,3,3480,28.38792857,nofracture
13,2,4686,28.39219396,nofracture
15,12,3051,19.28440216,
15,6,3319,18.69242121,
14,2,4737,28.39100591,nofracture
15,7,2946,18.62253676,
11,6,4545,25.73227211,
10,4,3501,19.81302321,
8,8,4002,22.21123117,
12,3,4905,28.39209183,nofracture
5,0,3338,18.22564777,
10,10,3911,21.65510442,
