chirality,chirality,n,l
15_11,15_11,2044,100.1505615
14_13,14_13,2188,103.6183331
15_13,15_13,2356,107.5228051
15_14,15_14,2524,111.2903781
12_5,12_5,1832,134.0882353
15_1,15_1,1928,137.5566071
11_7,11_7,1976,139.2584031
14_3,14_3,1976,139.2584031
13_5,13_5,2072,142.6010805
15_2,15_2,2072,142.6010805
10_9,10_9,2168,145.8671775
12_7,12_7,2216,147.4731031
13_6,13_6,2264,149.0617281
11_1,11_1,1596,153.281596
9_4,9_4,1596,153.281596
15_4,15_4,2408,153.7291344
11_9,11_9,2408,153.7291344
10_3,10_3,1668,156.700937
11_10,11_10,2648,161.2081266
13_8,13_8,2696,162.6626654
9_5,9_5,1812,163.325
12_1,12_1,1884,166.5382587
12_10,12_10,2912,169.0532895
9_1,9_1,1456,169.0532895
6_5,6_5,1456,169.0532895
11_3,11_3,1956,169.6906821
13_9,13_9,2936,169.7485082
15_7,15_7,3032,172.5013662
8_7,8_7,2028,172.7856
5_4,5_4,1220,173.0126508
10_8,10_8,2440,173.0126508
15_12,15_12,3660,173.0126508
6_1,6_1,1032,174.3124538
12_2,12_2,2064,174.3124538
8_3,8_3,1552,174.5375184
14_5,14_5,2716,176.3462457
12_11,12_11,3176,176.5501893
13_10,13_10,3192,176.9943414
14_9,14_9,3224,177.8793186
11_4,11_4,2172,178.8148079
15_8,15_8,3272,179.19859
9_2,9_2,1648,179.8545968
7_2,7_2,1340,181.3219346
14_4,14_4,2680,181.3219346
13_7,13_7,2884,181.7184247
13_4,13_4,2528,181.8803762
13_11,13_11,3464,184.3813041
8_5,8_5,1892,184.5054606
9_7,9_7,2316,184.6472516
14_10,14_10,3488,185.0189358
7_5,7_5,1744,185.0189358
10_6,10_6,2352,186.0768
5_3,5_3,1176,186.0768
15_9,15_9,3528,186.0768
10_1,10_1,1776,186.7086415
13_2,13_2,2388,187.4954492
11_5,11_5,2412,188.435282
8_6,8_6,2072,188.6434978
4_3,4_3,1036,188.6434978
12_9,12_9,3108,188.6434978
8_1,8_1,1460,189.266771
7_1,7_1,1292,189.5431233
14_2,14_2,2584,189.5431233
15_5,15_5,3120,191.6884124
12_4,12_4,2496,191.6884124
3_1,3_1,624,191.6884124
9_3,9_3,1872,191.6884124
6_2,6_2,1248,191.6884124
13_12,13_12,3752,191.8930985
14_11,14_11,3768,192.3018169
14_1,14_1,2532,193.0658319
3_2,3_2,760,193.1166588
6_4,6_4,1520,193.1166588
12_8,12_8,3040,193.1166588
15_10,15_10,3800,193.1166588
9_6,9_6,2280,193.1166588
15_6,15_6,3276,193.6748738
10_4,10_4,2184,193.6748738
5_2,5_2,1092,193.6748738
11_8,11_8,2912,195.2059244
13_3,13_3,2604,195.7916021
9_8,9_8,2604,195.7916021
8_2,8_2,1624,196.2588859
12_3,12_3,2436,196.2588859
4_1,4_1,812,196.2588859
10_7,10_7,2628,196.6917981
14_6,14_6,3160,196.8912828
7_3,7_3,1580,196.8912828
11_2,11_2,2156,196.9577327
10_2,10_2,1984,197.3393858
15_3,15_3,2976,197.3393858
5_1,5_1,992,197.3393858
11_6,11_6,2676,198.4799421
8_4,8_4,1904,199.2695224
14_7,14_7,3332,199.2695224
